gene	chromosome	start	end	bin	TAD
N/A	chr1	67134971	67134972	671350	hg38_H1_115
C1ORF141	chr1	67134971	67134972	671350	hg38_H1_115
C1ORF141	chr1	67134971	67134972	671350	hg38_H1_115
PKP1	chr1	201283451	201283452	2012835	hg38_H1_283
PKP1	chr1	201283451	201283452	2012835	hg38_H1_283
RERE	chr1	8817640	8817641	88177	hg38_H1_12
CSMD2	chr1	34165274	34165275	341653	hg38_H1_63
RERE	chr1	8817640	8817641	88177	hg38_H1_12
CSMD2	chr1	34165842	34165843	341659	hg38_H1_63
RERE	chr1	8423687	8423688	84237	hg38_H1_11
HIVEP3	chr1	42035925	42035926	420360	hg38_H1_78
SLC44A5	chr1	75611114	75611115	756112	hg38_H1_129
GLMN	chr1	92299009	92299010	922991	hg38_H1_149
SLC44A5	chr1	75611114	75611115	756112	hg38_H1_129
TTLL7	chr1	83999150	83999151	839992	hg38_H1_137
MAN1A2	chr1	117367462	117367463	1173675	hg38_H1_188
ANXA9	chr1	150982022	150982023	1509821	hg38_H1_196
MPZL1	chr1	167721949	167721950	1677220	hg38_H1_229
MPZL1	chr1	167721949	167721950	1677220	hg38_H1_229
RFWD2	chr1	176207244	176207245	1762073	hg38_H1_243
MPZL1	chr1	167721949	167721950	1677220	hg38_H1_229
C1ORF21	chr1	184387015	184387016	1843871	hg38_H1_262
N/A	chr1	176207244	176207245	1762073	hg38_H1_243
N/A	chr1	192948257	192948258	1929483	hg38_H1_272
RFWD2	chr1	176207244	176207245	1762073	hg38_H1_243
HSD11B1	chr1	209704790	209704791	2097048	hg38_H1_293
N/A	chr1	209686179	209686180	2096862	hg38_H1_293
SDCCAG8	chr1	243256004	243256005	2432561	hg38_H1_341
HSD11B1	chr1	209686179	209686180	2096862	hg38_H1_293
PRKCZ	chr1	2073985	2073986	20740	hg38_H1_3
PRKCZ	chr1	2050469	2050470	20505	hg38_H1_3
ACOT7	chr1	6393766	6393767	63938	hg38_H1_7
PRKCZ	chr1	2073646	2073647	20737	hg38_H1_3
N/A	chr1	1020122	1020123	10202	hg38_H1_1
PRDM16	chr1	3069177	3069178	30692	hg38_H1_4
AGRN	chr1	1020122	1020123	10202	hg38_H1_1
CAMTA1	chr1	6785323	6785324	67854	hg38_H1_8
ACOT7	chr1	6358944	6358945	63590	hg38_H1_7
ACOT7	chr1	6360704	6360705	63608	hg38_H1_7
ACOT7	chr1	6385823	6385824	63859	hg38_H1_7
PRDM16	chr1	3069177	3069178	30692	hg38_H1_4
PTCHD2	chr1	11479237	11479238	114793	hg38_H1_17
KAZN	chr1	14598716	14598717	145988	hg38_H1_21
PEX14	chr1	10474945	10474946	104750	hg38_H1_15
PLEKHM2	chr1	15684331	15684332	156844	hg38_H1_22
KAZN	chr1	14598716	14598717	145988	hg38_H1_21
DHRS3	chr1	12617731	12617732	126178	hg38_H1_18
KDM1A	chr1	23019447	23019448	230195	hg38_H1_40
EIF4G3	chr1	21111383	21111384	211114	hg38_H1_34
PLA2G2E	chr1	19923617	19923618	199237	hg38_H1_32
ALDH4A1	chr1	18902799	18902800	189028	hg38_H1_29
KDM1A	chr1	23019447	23019448	230195	hg38_H1_40
EIF4G3	chr1	21174758	21174759	211748	hg38_H1_34
EIF4G3	chr1	21176888	21176889	211769	hg38_H1_34
